,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,t,y,true_ite,est_ite
0,2.2004046,4.737226,-5.09976,1.3610697,0.8766684,6.9069915,-0.36543056,-0.792903,0.44080126,-0.8982159,0.0,0.0,0.49999386,0.8804596
1,-5.131819,-1.3560815,2.9047132,-1.0824151,0.3104988,-0.8463181,-1.3186531,3.2599506,-3.4764254,-0.12371914,0.0,0.0,0.49999386,0.411779
2,9.284857,-2.6700096,5.249797,-1.0324831,-2.3429747,7.242894,-0.7361647,6.665268,-4.385923,-0.33117568,1.0,0.0,0.95245075,0.9589705
3,4.165693,-3.1511173,-2.1068122,6.0898037,0.43332314,4.886225,2.7370787,6.4109373,-5.1935444,0.41080654,0.0,0.0,0.49999386,0.89680254
4,3.3527503,1.5674176,-3.7585435,7.722634,-3.3485217,-2.485888,4.5413256,7.970434,6.1682615,-2.4072032,1.0,1.0,0.95245075,0.96160287
5,7.430593,-4.149538,-1.8157353,-5.507456,-8.601347,1.8969867,-2.2513757,-1.7787039,-2.5144973,2.2801566,1.0,1.0,0.95245075,0.8598506
6,-0.39325917,0.24842834,0.561082,-1.4522319,-0.24967945,3.2157116,3.7241035,10.045299,1.1220365,1.7636166,1.0,1.0,0.95245075,0.85980123
7,0.029663503,2.2321172,1.3083436,-1.3106768,0.35234755,4.883522,-7.843525,-5.3311534,-1.0428717,4.6678295,1.0,1.0,0.95245075,0.79067814
8,-0.9761777,1.2204702,0.957486,0.66464454,8.513857,-1.9298916,1.9222647,2.748612,6.615814,-5.4797883,0.0,0.0,0.95245075,0.9400863
9,0.048587713,0.9410237,2.9957087,2.8451614,-2.2117276,0.053970717,-2.0952053,2.9424927,0.0935726,-1.8469803,0.0,0.0,0.49999386,0.3455592
10,-1.2924063,8.318361,2.029252,1.9171954,4.579799,5.890004,5.5406356,-2.0818522,-1.0448279,11.408496,1.0,1.0,0.95245075,0.9046003
11,6.219082,6.28992,7.0089254,-1.3969727,-1.541908,0.47966927,-1.4577029,0.25467378,4.960195,-4.5939107,1.0,1.0,0.95245075,0.92079127
12,3.2661557,-5.0239544,2.9533749,1.0541387,-0.85601294,1.075697,3.8044646,-2.0750175,1.1320915,1.717898,0.0,0.0,0.49999386,0.7368956
13,1.1746668,2.4711213,7.7699285,-6.971471,0.21078372,-1.2295501,-0.30416572,2.0020747,0.23526698,10.758945,1.0,0.0,0.95245075,0.93571657
14,1.3024678,-1.0833503,-1.4440217,0.6536667,3.1671953,1.7226691,2.4313838,-1.2535245,-2.0865943,-3.8496695,0.0,0.0,0.49999386,0.48404604
15,-0.33684444,4.7890034,-3.7751398,-2.075166,7.9601626,1.6500101,4.3884,6.730843,-3.6853633,1.2522948,1.0,1.0,0.95245075,0.9452438
16,1.9503214,4.648449,2.276732,4.894708,-7.196479,1.7064347,-1.3873188,1.1081901,1.8879215,1.9625106,0.0,0.0,0.49999386,0.607578
17,0.7479358,4.1127014,-1.6339846,2.485561,1.0266069,2.693499,5.2159543,5.376453,-2.266578,4.810425,1.0,1.0,0.95245075,0.8087451
18,-2.2578478,7.3554134,4.9354124,-7.0473576,1.9203987,1.075859,7.914912,2.0224786,-1.814054,1.2313205,1.0,1.0,0.95245075,0.9578671
19,-4.3871107,-2.0877547,-1.5325109,1.264119,-3.8453355,-0.69773465,1.3946038,-1.8049529,0.63300467,-2.794775,0.0,0.0,0.49999386,0.48692426
20,-1.9212751,-5.401152,-0.4135641,1.2218723,4.9951434,-4.447065,5.5809402,3.6169074,1.6820977,3.1107755,0.0,0.0,0.49999386,0.7384076
21,-4.4305115,-1.4077468,1.7755632,4.230333,0.60038775,-3.1011436,1.1894562,0.95567966,0.6796808,1.6981376,0.0,0.0,0.49999386,0.625173
22,1.4301157,4.7886906,1.2446388,-5.502756,4.242134,4.520533,-0.20141077,-2.308652,-0.81878746,4.967257,1.0,1.0,0.95245075,0.9032057
23,-4.995472,3.7563825,6.466104,4.183569,9.73907,1.6040845,-1.6629398,6.1194096,2.0191932,-3.9461932,1.0,1.0,0.95245075,0.9485186
24,-5.95076,10.0998335,3.2934167,0.44093013,-8.169037,-1.3227816,-1.0938313,-6.8870068,-0.3016944,2.128992,0.0,0.0,0.95245075,0.94953614
25,-2.9041266,1.2987064,-7.973319,7.505341,-4.8689833,-9.412453,6.492618,10.706118,3.765511,1.1980633,1.0,1.0,0.95245075,0.9811806
26,-0.57967496,-0.45054787,-4.236432,2.276339,-0.8534943,-0.6243032,-2.5821452,0.5593199,0.82495296,-2.2995195,0.0,0.0,0.49999386,0.3102835
27,6.316697,-0.9868852,1.8602664,2.4314876,3.917608,-3.595261,1.2008828,4.320545,2.154789,0.71811515,1.0,1.0,0.95245075,0.9102726
