,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,t,y,true_ite,est_ite
0,-3.3574085,0.47187877,4.6956835,-0.8510784,-5.469362,1.4662416,-0.8326212,0.24956095,10.067133,-4.7961397,0.0,0.0,0.95245075,0.9352934
1,4.033085,4.5123553,9.079522,-0.12362838,-0.5453869,-7.106555,11.19511,-6.6951933,-0.8259294,2.7886932,1.0,1.0,0.95245075,0.9801178
2,0.60387474,2.6716862,4.182821,0.50970685,-1.0002173,-1.1024842,-0.67769074,-2.9681444,-3.6761522,-3.691331,0.0,0.0,0.49999386,0.5724462
3,2.201257,-0.6726162,-6.590485,0.051006306,-1.4432564,-5.26616,-4.4489927,3.484775,-4.9024963,-3.8574681,0.0,0.0,0.49999386,0.6745896
4,-3.8867407,2.2938461,10.13624,-4.773499,-3.9148703,3.2033405,6.9991627,2.978949,7.5949674,1.0203512,1.0,1.0,0.95245075,0.963618
5,-3.4249427,0.54142207,3.5097077,1.544054,3.2277346,8.696673,-1.5872681,2.0106313,-2.8969727,-3.5711865,0.0,0.0,0.49999386,0.8342835
6,0.1778692,1.6136727,0.04347748,0.38320243,-0.6740556,2.3490968,-3.5151222,1.82799,3.3998318,-0.70449644,0.0,0.0,0.49999386,0.42192793
7,3.4792647,-1.4829962,-0.70638937,4.2434244,0.1445247,1.5332955,-3.2781723,-3.9767542,0.6578326,1.1611704,0.0,0.0,0.49999386,0.647922
8,1.753391,-1.6857474,2.296503,3.9641695,2.6973748,0.9108684,1.9540297,1.153867,5.255618,-1.4812143,1.0,1.0,0.49999386,0.81630594
9,10.650666,1.7864937,8.681197,3.407102,2.401796,-0.185027,2.5083032,5.3038316,6.6114745,-2.3896909,1.0,1.0,0.95245075,0.9452373
10,1.0532701,-0.40152964,-0.05214942,4.015539,-0.8409335,-4.4476013,-0.47333944,5.9803004,-4.087069,-3.507194,1.0,1.0,0.49999386,0.6074449
11,7.778924,-1.6010413,0.5416781,-4.787403,7.6642942,-5.3639045,-2.8176422,1.0453819,-0.83761716,-5.9735265,1.0,1.0,0.95245075,0.91577786
12,1.0180585,1.9632393,2.3473792,-1.6127183,0.13993077,-2.822692,-2.0025084,-2.7530723,-4.4424763,-0.19313979,0.0,0.0,0.49999386,0.3688071
13,2.9490342,2.7667816,12.324964,0.4567191,4.9656,-1.4836884,-3.4943123,-3.7788992,6.358713,-8.491583,1.0,1.0,0.95245075,0.9678902
14,1.8790152,1.2061331,-5.191248,4.9524126,-0.11663091,2.1682732,-0.45429763,0.37773967,2.3723536,2.695473,1.0,0.0,0.49999386,0.6422028
15,-1.313996,3.0071733,-1.9213712,-1.7287406,-0.13136902,0.53144,3.2336278,0.89712584,0.003423294,-3.0552244,0.0,0.0,0.49999386,0.391695
16,6.265073,7.5264006,9.134328,0.12618756,-0.5838542,1.7388563,-3.3296666,1.8119378,2.2762232,0.64868563,1.0,1.0,0.95245075,0.90200156
17,1.0718842,3.5004492,2.162606,2.9190493,1.8612859,2.1862216,-3.0475981,-3.310662,3.396923,-2.191381,0.0,0.0,0.49999386,0.67903876
18,1.4545968,3.188993,-2.787019,1.771292,-2.6661224,0.83821154,4.575209,-5.5090013,-0.5349865,4.504682,0.0,0.0,0.49999386,0.8709505
19,-3.6711345,-0.20641375,-2.3966434,7.996899,-8.513781,2.9238758,1.3359604,3.205945,5.0280952,-4.2463226,1.0,1.0,0.95245075,0.8600292
20,-0.6642803,0.9986059,-1.0746862,0.20428208,8.421032,-0.5351325,3.5214143,3.6801732,-2.2006652,-2.9413946,0.0,0.0,0.49999386,0.6825971
21,4.0002546,2.3626988,0.897127,-0.9084023,12.048531,1.971476,-8.971206,6.1429105,-0.018002748,-3.7760868,1.0,1.0,0.95245075,0.9615496
22,-2.4694338,5.0330496,11.111035,5.914238,1.7986722,4.7510056,-0.994393,6.0453587,-2.875048,4.692269,1.0,1.0,0.95245075,0.85577536
23,1.5375398,0.98820984,-1.6613815,-2.0856698,-3.2509296,0.94538784,1.5929515,2.0856926,-0.1770042,-5.695488,0.0,0.0,0.49999386,0.54811275
24,4.512417,0.73507184,0.0815368,2.4960234,-1.9581338,-3.0180502,-0.8552365,-2.9344676,-4.620099,1.4169434,1.0,1.0,0.49999386,0.46809435
25,9.7252445,-4.119682,-1.4248116,-11.016925,-2.0056057,7.534525,-3.5770016,-7.4652987,5.4913063,3.4865792,0.0,0.0,0.95245075,0.9806269
26,4.84883,0.9662286,4.660802,-1.19168,-0.14164978,-5.529707,-2.333486,-1.8405061,0.007819212,-0.4480908,0.0,0.0,0.49999386,0.66067165
27,0.73990476,0.6536422,2.4513004,-2.7771592,1.3062756,-6.1989803,3.4462452,-0.6452637,-2.125603,-7.7902174,0.0,0.0,0.95245075,0.70081276
