,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,treatment,y,true_ite
0,4.298883,9.129521,10.589167,-1.6944602,1.4423028,-4.935695,0.6658538,2.9292479,2.6949713,-2.362651,0.0,0.0,0.95245075
1,-4.2690754,-6.817748,9.09717,0.17073178,-0.21787226,-1.516954,3.8829386,5.9222727,2.470217,1.2828802,1.0,1.0,0.95245075
2,1.6561892,-2.7620425,-4.0304275,0.7032633,1.3935044,1.5590233,-4.547034,1.1090907,-5.3355966,-0.5779724,1.0,0.0,0.49999386
3,-6.4414964,-0.3411076,-0.42756236,-0.8049145,3.3649125,3.236317,6.900733,5.4985886,-1.6253848,-4.9019413,0.0,0.0,0.95245075
4,4.2535987,2.9043264,4.422561,-2.8948395,1.0389835,6.2983685,0.39296347,-0.27917993,2.0700965,5.5510287,1.0,1.0,0.95245075
5,0.4048537,-8.580226,0.37075222,-7.710431,6.657996,-4.1727333,3.186428,5.7905345,3.3234994,5.3752165,1.0,1.0,0.95245075
6,-1.1596172,-5.9644732,2.1905327,1.2883432,-2.0173965,-2.1053061,0.34919178,2.438222,4.3841524,1.2863094,0.0,0.0,0.49999386
7,-1.4355597,-0.30063272,1.7645366,1.0570543,2.4090624,4.9525814,4.889296,-0.9091182,6.0322075,2.961729,0.0,0.0,0.95245075
8,-4.106606,-5.416326,-6.2727923,4.1636586,2.0295868,-9.714253,3.1562653,-8.922171,1.0568086,-6.767495,1.0,1.0,0.95245075
9,-1.6117469,2.192079,-7.068289,-1.0050352,1.9376273,-0.67720175,-3.072239,5.935722,1.5066423,0.6766585,1.0,1.0,0.49999386
10,-7.0911884,3.867907,-0.25081646,8.586182,-1.2596173,8.803191,-4.6350927,-5.4882874,4.2063413,4.604472,1.0,1.0,0.95245075
11,8.521206,2.1908169,-0.93235135,7.952867,-3.183217,-1.4397497,7.0619917,-7.4428988,4.4620094,6.126109,0.0,0.0,0.95245075
12,2.4423366,-8.279639,6.86282,-7.242586,-6.7031236,8.663132,3.0301356,-1.2921646,0.2898718,-7.44322,1.0,1.0,0.95245075
13,2.4090872,5.9313765,1.8318446,6.365094,-0.06070614,3.2283826,-6.265998,0.092855215,-6.148673,-0.4036522,1.0,1.0,0.95245075
14,1.7871532,-1.4907639,-0.99326324,-1.6265817,-4.5305333,1.7946961,2.4694102,8.425788,2.3947082,8.167059,1.0,1.0,0.95245075
15,-0.85473764,-2.5888329,1.4013574,-1.650546,-2.460369,-5.039147,2.5053668,3.5513258,2.168582,-1.9970944,1.0,1.0,0.49999386
16,-0.53825927,-3.0223784,-1.7192702,3.5679672,-0.93403006,3.3314486,0.95283425,-0.78789544,-4.978439,5.9094586,1.0,1.0,0.95245075
17,0.40981638,0.36868426,-0.5200376,3.5741434,-1.9831449,-1.9329011,-3.8495083,-2.243638,-4.0467443,-2.715281,1.0,0.0,0.49999386
18,-3.2039046,-2.4059339,0.1717288,1.7551811,-3.6230917,7.1428285,4.3745213,-1.8409977,2.869317,2.116389,1.0,0.0,0.49999386
19,5.363508,1.2292469,0.5621113,2.9146695,-1.9858543,-4.1248465,3.723105,-2.5630615,-7.3272014,-3.5570097,1.0,0.0,0.49999386
20,-0.37598455,2.8669786,1.4779286,1.0671238,-0.9288523,0.0583011,1.7776706,-0.66339666,0.0623319,-5.573578,0.0,0.0,0.49999386
21,2.5775595,4.423314,-0.083637595,4.3639197,6.487879,1.5322373,-10.281577,4.9494987,6.6647987,-3.4401155,0.0,0.0,0.95245075
